cell,axis,level,arm,n,min_nuisance,max_updates,n_bootstrap,med_ps_min,med_ps_p01,med_frac_ps_below_05,med_piG_p01,med_frac_weights_truncated,med_frac_subjects_truncated,med_censored_frac,med_n_events_1,med_n_events_2,med_n_times,med_ps_mae,med_cumhaz_mae,med_n_failed_fits,med_tmle_steps,med_tmle_converged,med_seconds,reps_attempted,reps_failed,completion
CN3_n500_correct,censoring,CN3,correct,500,0.01,200,0,0.23070736650111262,0.2431090118269408,0.0,1.8474677919579325e-05,0.056,0.109,0.302,172.0,177.0,500.0,0.0339832520010558,0.06976910367577424,0.0,28.0,1.0,21.3199120759964,500,0,1.0
CN4_n250_correct,censoring,CN4,correct,250,0.01,200,0,0.2373819052051341,0.2383430616316952,0.0,1.1887808770954774e-05,0.086,0.148,0.496,61.0,64.0,250.0,0.04619110462070107,0.08089588745055432,0.0,27.0,0.0,32.76041865348816,1000,0,1.0
CN4_n250_oracle,censoring,CN4,oracle,250,0.01,200,0,0.24507499207037364,0.2537174480317025,0.0,3.457498173451755e-05,0.082,0.152,0.496,61.0,64.0,250.0,0.0,0.0,0.0,27.0,0.0,33.19000446796417,1000,0,1.0
CN4_n500_correct,censoring,CN4,correct,500,0.01,200,0,0.2260643286673873,0.2416523543097379,0.0,2.1485076991184853e-05,0.085,0.147,0.5,122.0,127.0,500.0,0.03420424905405156,0.05620799542714406,0.0,30.0,1.0,33.43744707107544,500,0,1.0
RA3mu1000_n250_correct,max_updates,RA3@1000,correct,250,0.01,1000,0,0.23850879005280615,0.23402458563569264,0.0,0.14211036101237653,0.0,0.0,0.38,10.0,144.0,250.0,0.048134908743959884,0.0772764019748611,0.0,1000.0,0.0,66.28019452095032,1000,1,0.999
CN3mn025_n250_correct,min_nuisance,CN3@0.025,correct,250,0.025,200,0,0.23916749520721167,0.235175154098472,0.0,1.2480760866998278e-05,0.072,0.132,0.3,86.0,89.0,250.0,0.047607094216162146,0.09827192279288305,0.0,27.0,1.0,3.670902967453003,500,0,1.0
CN3mn05_n250_correct,min_nuisance,CN3@0.05,correct,250,0.05,200,0,0.23916749520721167,0.235175154098472,0.0,1.2480760866998278e-05,0.088,0.152,0.3,86.0,89.0,250.0,0.047607094216162146,0.09827192279288305,0.0,24.0,1.0,2.666215658187866,500,0,1.0
CN3mn1_n250_correct,min_nuisance,CN3@0.1,correct,250,0.1,200,0,0.23916749520721167,0.235175154098472,0.0,1.2480760866998278e-05,0.126,0.188,0.3,86.0,89.0,250.0,0.047607094216162146,0.09827192279288305,0.0,22.0,1.0,2.491379141807556,500,0,1.0
OV3mn025_n250_correct,min_nuisance,OV3@0.025,correct,250,0.025,200,0,0.010081017665959407,0.011768075604115481,0.128,0.009360849053545426,0.052,0.104,0.244,92.0,97.0,250.0,0.037272604047812435,0.08834052457163033,0.0,37.5,0.0,16.755523204803467,500,0,1.0
OV3mn05_n250_correct,min_nuisance,OV3@0.05,correct,250,0.05,200,0,0.010081017665959407,0.011768075604115481,0.128,0.009360849053545426,0.114,0.228,0.244,92.0,97.0,250.0,0.037272604047812435,0.08834052457163033,0.0,49.0,1.0,5.505380868911743,500,0,1.0
OV3mn1_n250_correct,min_nuisance,OV3@0.1,correct,250,0.1,200,0,0.010081017665959407,0.011768075604115481,0.128,0.009360849053545426,0.22,0.44,0.244,92.0,97.0,250.0,0.037272604047812435,0.08834052457163033,0.0,36.0,1.0,3.802687406539917,500,0,1.0
NULL_n250_correct,nulleffect,NULL,correct,250,0.01,200,0,0.23748983638562887,0.23707246080580494,0.0,0.13774526988589508,0.0,0.0,0.224,114.0,80.0,250.0,0.046626053318770996,0.09471778894055113,0.0,19.0,1.0,2.1440669298171997,1000,0,1.0
NULL_n500_correct,nulleffect,NULL,correct,500,0.01,200,0,0.23484048984545913,0.24524341488730156,0.0,0.15271032043453453,0.0,0.0,0.228,226.0,160.0,500.0,0.03326622438663301,0.06479697227193584,0.0,18.0,1.0,8.600547790527344,500,0,1.0
OV1_n250_correct,overlap,OV1,correct,250,0.01,200,0,0.08951405763213785,0.09379205148778477,0.0,0.06209966146008815,0.0,0.0,0.244,92.0,97.0,250.0,0.04391862196992273,0.08766059578957106,0.0,29.0,1.0,3.238978147506714,1000,0,1.0
OV1_n500_correct,overlap,OV1,correct,500,0.01,200,0,0.082131979285018,0.09683854552340043,0.0,0.06715579942205502,0.0,0.0,0.246,184.0,193.0,500.0,0.03130049275123677,0.05913248018819503,0.0,24.0,1.0,10.930447459220886,500,0,1.0
B_OV2_n250_correct,overlap,OV2,correct,250,0.01,200,100,0.032988459052979355,0.036916430359544575,0.026000000000000002,0.027027271528048402,0.0,0.0,0.248,92.0,95.5,250.0,0.04125436526727626,0.08920655188624294,0.0,30.0,0.0,1728.7000066041946,150,0,1.0
OV2_n250_correct,overlap,OV2,correct,250,0.01,200,0,0.031412898809004164,0.03456054561005574,0.032,0.02535619751543667,0.0,0.0,0.244,92.0,97.0,250.0,0.041246270030370936,0.08761592228882992,0.0,30.0,0.0,21.87902593612671,1000,0,1.0
OV2_n500_correct,overlap,OV2,correct,500,0.01,200,0,0.027338451702770293,0.0353049835241428,0.028,0.026785209936893286,0.0,0.0,0.244,184.0,194.0,500.0,0.028861578903134153,0.059737131362811474,0.0,33.0,1.0,20.922900438308716,500,0,1.0
B_OV3_n250_correct,overlap,OV3,correct,250,0.01,200,100,0.010746208018544513,0.012560727144543284,0.124,0.009151815871360611,0.012,0.024,0.242,92.5,97.0,250.0,0.04070701901451591,0.08651120936846744,0.0,30.5,0.0,2089.042380332947,150,0,1.0
OV3_n250_correct,overlap,OV3,correct,250,0.01,200,0,0.010270185369227561,0.011726400679959115,0.128,0.009211508210625177,0.012,0.024,0.244,92.0,97.0,250.0,0.03737119884998717,0.08845279796643549,0.0,29.0,0.0,30.275792598724365,1000,0,1.0
OV3_n250_oracle,overlap,OV3,oracle,250,0.01,200,0,0.010910698660744128,0.01305685444227447,0.12,0.011098159655447457,0.008,0.016,0.244,92.0,97.0,250.0,0.0,0.0,0.0,30.0,0.0,30.40617036819458,1000,0,1.0
OV3_n500_correct,overlap,OV3,correct,500,0.01,200,0,0.00783273779638713,0.011428281811337992,0.13,0.009755721781819621,0.011,0.022,0.247,183.0,194.0,500.0,0.026568301078472807,0.06260755701380472,0.0,34.0,0.0,76.4906131029129,500,0,1.0
B_OV4_n250_correct,overlap,OV4,correct,250,0.01,200,100,0.0010885303821157426,0.0014594941247871927,0.328,0.0013872287423657137,0.078,0.156,0.246,91.0,97.0,250.0,0.028569548504873282,0.09268487404825876,0.0,29.0,0.0,2806.3681540489197,150,0,1.0
OV4_n250_correct,overlap,OV4,correct,250,0.01,200,0,0.0010541177479491941,0.0013650411199727683,0.336,0.001177712117040629,0.084,0.168,0.248,92.0,97.0,250.0,0.030855953205365962,0.09306918608619122,0.0,29.5,0.0,30.453314065933228,1000,0,1.0
OV4_n250_oracle,overlap,OV4,oracle,250,0.01,200,0,0.001246766980386083,0.0015578544832276528,0.332,0.001556248512107517,0.076,0.152,0.248,92.0,97.0,250.0,0.0,0.0,0.0,31.0,0.0,30.35627830028534,1000,0,1.0
OV4_n500_correct,overlap,OV4,correct,500,0.01,200,0,0.0007258764831251635,0.001282956717734706,0.338,0.0012695508577342703,0.0825,0.165,0.244,184.0,193.0,500.0,0.023912210983646397,0.06281578061888943,0.0,39.0,0.0,104.88686668872833,500,0,1.0
RA1_n250_correct,rare,RA1,correct,250,0.01,200,0,0.23553752106560782,0.23340013599663045,0.0,0.14120960129186694,0.0,0.0,0.328,39.0,128.0,250.0,0.04683898237869974,0.08276351803190819,0.0,49.0,1.0,4.794277787208557,1000,0,1.0
RA1_n500_correct,rare,RA1,correct,500,0.01,200,0,0.22549306854970771,0.23898829749457567,0.0,0.14981676516297449,0.0,0.0,0.328,79.0,256.0,500.0,0.032617026294676735,0.05644515786141835,0.0,42.0,1.0,15.613969326019287,500,0,1.0
B_RA2_n250_correct,rare,RA2,correct,250,0.01,200,100,0.24059707473714725,0.23964638401137972,0.0,0.14489041086646204,0.0,0.0,0.364,21.0,138.0,250.0,0.04820839396686457,0.08034641922582764,0.0,200.0,0.0,1045.8239376544952,150,0,1.0
RA2_n250_correct,rare,RA2,correct,250,0.01,200,0,0.2398088559460586,0.23493405215346436,0.0,0.14264669778950578,0.0,0.0,0.36,21.0,139.0,250.0,0.047162341680707126,0.07970039621737818,0.0,200.0,0.0,13.024446606636047,1000,0,1.0
RA2_n500_correct,rare,RA2,correct,500,0.01,200,0,0.2293302888033892,0.241197868737513,0.0,0.15369906419833956,0.0,0.0,0.358,43.0,277.0,500.0,0.03403079849315616,0.05463471767594842,0.0,91.0,1.0,28.690351605415344,500,0,1.0
B_RA3_n250_correct,rare,RA3,correct,250,0.01,200,100,0.2368861781232312,0.23373133100587395,0.0,0.13767030989142684,0.0,0.0,0.384,11.0,143.5,250.0,0.051001603743804094,0.07650851986656276,0.0,200.0,0.0,1086.5849523544312,150,1,0.9933333333333333
RA3_n250_correct,rare,RA3,correct,250,0.01,200,0,0.23850879005280615,0.23402458563569264,0.0,0.14211036101237653,0.0,0.0,0.38,10.0,144.0,250.0,0.048134908743959884,0.0772764019748611,0.0,200.0,0.0,14.137378573417664,1000,1,0.999
RA3_n250_oracle,rare,RA3,oracle,250,0.01,200,0,0.24824611842320599,0.2532039199683762,0.0,0.166730855630347,0.0,0.0,0.38,10.0,144.0,250.0,0.0,0.0,0.0,200.0,0.0,15.02862000465393,1000,0,1.0
RA3_n500_correct,rare,RA3,correct,500,0.01,200,0,0.23111472072904976,0.24290347992420377,0.0,0.15634747660685155,0.0,0.0,0.378,20.0,290.0,500.0,0.032576189208115114,0.05360638717354026,0.0,200.0,0.0,49.832725524902344,500,0,1.0
